client_id,client_type,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age
C0028,Individual,1958-04-15,F,USA,California,Home,3,False,Client,68
C0029,Individual,1976-02-26,F,USA,Colorado,Home,4,True,Agency,50
C0030,Individual,1952-06-19,F,USA,Nevada,Home,3,False,Website,74
C0031,Individual,1977-12-25,M,USA,Nevada,Home,4,True,Website,48
C0032,Individual,1966-11-08,M,USA,California,Home,4,False,Website,59
C0033,Individual,1968-08-14,F,USA,California,Home,3,True,Website,58
C0034,Individual,1969-10-30,F,Belgium,Brussels,Home,2,False,Agency,56
C0035,Individual,1965-12-05,M,Mexico,Mexico City,Home,3,False,Agency,60
C0036,Individual,1973-01-09,M,USA,California,Home,4,False,Website,53
C0037,Individual,1962-01-20,F,USA,California,Home,5,True,Website,64
C0038,Individual,1974-12-25,F,USA,California,Investment,4,False,Client,51
C0039,Individual,1967-06-13,F,Russia,Krasnodar Krai,Home,1,False,Agency,59
C0040,Individual,1975-03-22,M,USA,Nevada,Home,5,False,Website,51
C0041,Individual,1967-04-13,M,USA,Arizona,Home,1,True,Website,59
C0042,Individual,1975-12-08,F,USA,Utah,Home,1,True,Website,50
C0043,Individual,1965-04-04,M,USA,Nevada,Investment,3,True,Website,61
C0044,Individual,1931-02-13,F,USA,Arizona,Home,3,False,Website,95
C0045,Individual,1968-12-10,M,USA,Colorado,Investment,2,False,Agency,57
C0046,Individual,1964-09-24,F,USA,California,Home,5,False,Client,62
C0047,Individual,1970-07-31,M,USA,Colorado,Home,2,False,Agency,56
C0048,Individual,1957-03-20,M,USA,California,Home,3,True,Agency,69
C0049,Individual,1971-08-20,F,USA,California,Home,1,False,Website,55
C0050,Individual,1940-05-03,M,USA,California,Home,5,False,Website,86
C0051,Individual,1941-03-03,F,USA,Colorado,Home,3,False,Agency,85
C0052,Individual,1967-03-02,F,USA,Oregon,Investment,2,False,Client,59
C0053,Individual,1954-07-01,M,USA,Arizona,Home,4,False,Agency,72
C0054,Company,1967-02-15,M,USA,Nevada,Investment,5,False,Website,59
C0055,Individual,1973-07-06,F,USA,California,Home,5,True,Agency,53
C0056,Individual,1964-07-12,M,USA,Oregon,Investment,5,False,Agency,62
C0057,Individual,1933-08-06,M,USA,California,Home,4,True,Agency,93
C0058,Company,1969-03-05,F,USA,California,Investment,1,True,Website,57
C0059,Individual,1960-06-16,M,USA,California,Home,2,False,Website,66
C0060,Individual,1972-07-05,F,USA,California,Home,5,False,Website,54
C0061,Individual,1967-12-05,M,USA,Utah,Home,5,False,Agency,58
C0062,Individual,1974-03-27,M,USA,California,Home,5,True,Client,52
C0063,Individual,1942-07-23,F,USA,Arizona,Home,4,False,Website,84
C0064,Individual,1974-10-02,M,UK,Northern Ireland,Investment,4,False,Agency,52
C0065,Individual,1972-03-26,M,USA,California,Home,1,False,Agency,54
C0066,Individual,1974-12-25,F,USA,California,Investment,3,False,Client,51
C0067,Individual,1977-10-06,M,USA,California,Home,2,False,Website,49
C0068,Individual,1966-02-26,F,USA,Colorado,Home,5,True,Agency,60
C0069,Individual,1970-01-04,M,USA,California,Investment,4,False,Website,56
C0070,Individual,1947-04-27,F,USA,Arizona,Home,4,True,Website,79
C0071,Individual,1985-12-27,M,USA,California,Home,1,True,Client,40
C0072,Individual,1953-03-02,M,USA,Nevada,Investment,2,False,Website,73
C0073,Individual,1965-11-01,F,Denmark,Capital Region,Investment,1,False,Agency,60
C0074,Individual,1959-01-01,F,USA,Oregon,Investment,5,False,Client,67
C0075,Individual,1970-05-05,F,USA,California,Home,3,False,Website,56
C0076,Individual,1956-03-13,M,USA,California,Home,5,False,Agency,70
C0077,Individual,1980-09-14,M,USA,California,Home,5,False,Website,46
C0078,Individual,1948-04-23,F,USA,California,Home,5,False,Website,78
C0079,Individual,1954-02-27,M,Belgium,Brussels,Investment,4,False,Website,72
C0080,Individual,1949-01-16,F,USA,California,Investment,3,False,Website,77
C0081,Individual,1943-07-24,F,USA,California,Home,4,True,Website,83
C0082,Individual,1981-12-26,F,USA,Virginia,Investment,5,False,Client,44
C0083,Individual,1938-10-29,M,USA,California,Home,5,False,Website,87
C0084,Individual,1948-02-23,M,USA,Wyoming,Home,3,False,Agency,78
C0085,Individual,1966-09-14,M,USA,California,Home,4,True,Agency,60
C0086,Individual,1968-12-20,F,USA,California,Home,3,True,Website,57
C0087,Individual,1979-05-15,F,USA,California,Home,4,False,Agency,47
C0088,Individual,1936-08-13,M,USA,Oregon,Investment,2,False,Website,90
C0089,Individual,1949-11-14,M,USA,California,Home,3,False,Agency,76
C0090,Individual,1982-05-27,M,USA,California,Home,5,False,Client,44
C0091,Individual,1959-11-13,F,USA,California,Home,4,False,Website,66
C0092,Individual,1971-05-29,M,USA,Kansas,Home,3,False,Website,55
C0093,Individual,1962-11-09,M,USA,California,Home,2,False,Agency,63
C0094,Individual,1948-04-23,F,USA,California,Home,5,False,Website,78
C0095,Individual,1964-03-16,M,USA,California,Home,3,True,Agency,62
C0096,Individual,1985-12-27,M,USA,California,Investment,3,True,Website,40
C0097,Individual,1943-06-18,M,USA,Virginia,Home,5,True,Website,83
C0098,Individual,1949-06-22,F,Russia,Saint Petersburg,Home,3,True,Agency,77
C0099,Individual,1941-01-12,M,USA,California,Investment,4,False,Website,85
C0100,Individual,1969-05-06,M,USA,California,Home,3,False,Website,57
C0101,Individual,1951-02-03,F,USA,Nevada,Home,3,False,Website,75
C0102,Individual,1947-02-13,M,USA,California,Investment,5,True,Website,79
C0103,Individual,1973-12-15,M,USA,Colorado,Home,3,False,Website,52
C0104,Individual,1978-09-14,M,USA,California,Home,5,False,Website,48
C0105,Individual,1959-03-11,F,USA,California,Investment,2,True,Website,67
C0106,Individual,1953-09-06,M,USA,Colorado,Home,4,False,Website,73
C0107,Individual,1959-06-08,M,USA,California,Home,4,True,Agency,67
C0108,Individual,1958-12-20,M,USA,California,Home,4,False,Agency,67
C0109,Individual,1933-05-05,F,USA,California,Investment,5,True,Agency,93
C0110,Individual,1959-05-06,F,USA,California,Investment,5,True,Agency,67
C0111,Individual,1979-06-27,M,USA,Arizona,Home,2,True,Website,47
C0112,Individual,1960-01-10,F,USA,California,Investment,1,True,Agency,66
C0113,Individual,1949-07-14,M,USA,Utah,Investment,4,False,Agency,77
C0114,Individual,1962-01-21,F,USA,California,Home,1,True,Website,64
C0115,Individual,1978-03-12,F,USA,California,Home,5,False,Agency,48
C0116,Individual,1955-07-08,F,USA,California,Investment,4,False,Website,71
C0117,Individual,1964-06-10,M,UK,Scotland,Investment,4,False,Agency,62
C0118,Individual,1948-09-11,F,USA,Oregon,Investment,5,False,Agency,78
C0119,Individual,1942-07-19,F,USA,California,Home,1,True,Website,84
C0120,Individual,1953-07-30,F,USA,California,Home,4,True,Website,73
C0121,Individual,1950-07-18,M,USA,Nevada,Home,2,False,Website,76
C0122,Individual,1973-08-18,F,USA,California,Home,1,True,Agency,53
C0123,Individual,1962-08-25,F,USA,California,Home,4,True,Website,64
C0124,Individual,1963-07-15,F,USA,California,Home,4,False,Agency,63
C0125,Individual,1976-12-25,M,USA,Colorado,Home,4,True,Agency,49
C0126,Individual,1972-11-07,F,USA,California,Investment,2,False,Agency,53
C0127,Individual,1974-07-18,M,USA,Nevada,Home,2,True,Website,52
C0128,Company,1963-05-22,M,USA,Nevada,Investment,5,True,Website,63
C0129,Individual,1973-07-17,M,USA,Arizona,Investment,5,False,Website,53
C0130,Individual,1959-04-20,M,USA,Nevada,Home,3,True,Website,67
C0131,Individual,1971-02-12,M,USA,California,Home,1,False,Website,55
C0132,Individual,1965-07-20,M,USA,Nevada,Home,1,True,Agency,61
C0133,Individual,1946-09-14,M,USA,California,Investment,4,False,Agency,80
C0134,Individual,1932-06-13,F,Russia,Novosibirsk,Investment,3,False,Website,94
C0135,Individual,1939-05-03,M,USA,Utah,Investment,2,False,Agency,87
C0136,Individual,1973-09-15,M,USA,California,Home,3,False,Website,53
C0137,Individual,1957-10-29,F,USA,California,Home,3,True,Website,68
C0138,Individual,1939-06-30,F,USA,Oregon,Investment,3,True,Website,87
C0139,Individual,1969-10-14,F,USA,California,Home,5,True,Website,56
C0140,Individual,1952-06-18,F,USA,California,Home,3,False,Website,74
C0141,Individual,1986-06-21,F,USA,California,Home,5,False,Website,40
C0142,Individual,1978-04-06,F,USA,Nevada,Home,3,True,Website,48
C0143,Individual,1958-02-24,M,USA,California,Home,1,False,Website,68
C0144,Individual,1954-09-29,M,USA,California,Home,4,False,Agency,72
C0145,Individual,1964-11-30,F,USA,California,Home,4,False,Website,61
C0146,Individual,1963-01-02,M,USA,Colorado,Home,2,False,Website,63
C0147,Individual,1948-02-20,M,USA,Utah,Home,4,False,Client,78
C0148,Individual,1969-04-19,M,USA,Colorado,Investment,4,True,Agency,57
C0149,Individual,1955-02-12,M,Russia,Krasnodar Krai,Investment,3,False,Agency,71
C0150,Individual,1968-08-25,M,USA,California,Home,2,True,Website,58
C0151,Individual,1976-08-17,F,USA,Oregon,Home,1,False,Agency,50
C0152,Individual,1967-01-19,F,USA,California,Investment,2,True,Agency,59
C0153,Individual,1983-02-24,F,USA,California,Home,5,False,Website,43
C0154,Individual,1965-01-24,F,USA,California,Home,4,True,Agency,61
C0155,Company,1975-08-18,M,USA,California,Investment,5,False,Agency,51
C0156,Individual,1966-05-26,F,USA,California,Home,5,False,Website,60
C0157,Individual,1952-05-15,M,USA,Colorado,Home,2,True,Client,74
C0158,Individual,1979-03-12,F,USA,Virginia,Investment,3,True,Agency,47
C0159,Individual,1942-04-14,M,USA,California,Home,3,False,Website,84
C0160,Individual,1959-11-06,F,USA,California,Home,4,False,Website,66
C0161,Individual,1951-10-11,M,USA,California,Home,5,False,Website,75
C0162,Individual,1953-09-15,M,USA,California,Home,4,False,Website,73
C0163,Individual,1986-03-24,M,USA,Utah,Investment,5,True,Agency,40
C0164,Individual,1986-09-20,M,USA,Arizona,Home,5,False,Website,40
C0165,Individual,1956-11-07,F,USA,California,Home,3,True,Website,69
C0166,Individual,1984-01-24,F,USA,Arizona,Home,4,True,Agency,42
C0167,Individual,1955-02-02,F,UK,Scotland,Home,3,True,Website,71
C0168,Individual,1960-06-06,F,USA,Nevada,Home,3,False,Agency,66
C0169,Individual,1990-08-13,M,USA,Ohio,Investment,5,True,Agency,36
C0170,Individual,1949-06-13,M,USA,California,Home,5,False,Website,77
C0171,Individual,1991-05-05,F,USA,Washington,Investment,5,True,Client,35
C0172,Individual,1992-09-16,F,USA,Washington,Home,1,True,Agency,34
C0173,Individual,1976-07-20,F,USA,Arizona,Home,5,True,Agency,50
C0174,Individual,1982-06-07,F,USA,California,Investment,3,False,Client,44
C0175,Individual,1962-05-04,M,USA,Washington,Home,5,False,Agency,64
C0176,Individual,1993-06-27,F,USA,California,Home,2,False,Website,33
C0177,Individual,1951-05-03,F,UK,England,Home,5,True,Website,75
C0178,Individual,1952-12-23,F,USA,Virginia,Home,4,False,Agency,73
C0179,Individual,1986-11-02,F,USA,Oregon,Investment,2,False,Website,39
C0180,Individual,1943-01-28,M,USA,California,Home,2,True,Agency,83
C0181,Individual,1970-04-26,M,USA,Texas,Home,2,True,Website,56
C0182,Individual,1971-02-12,F,Germany,North Rhine-Westphalia,Investment,1,True,Website,55
C0183,Individual,1988-09-15,M,USA,Nevada,Home,3,False,Website,38
C0184,Individual,1994-01-21,M,USA,Florida,Home,1,False,Website,32
C0185,Individual,1945-02-07,F,USA,Nevada,Home,4,True,Agency,81
C0186,Individual,1982-02-04,F,USA,Virginia,Home,1,False,Website,44
C0187,Individual,1990-01-17,F,USA,Florida,Home,1,False,Website,36
C0188,Individual,1940-08-10,M,USA,Oregon,Home,5,True,Website,86
C0189,Individual,1958-11-12,F,USA,California,Home,2,False,Agency,67
C0190,Individual,1971-10-19,F,USA,California,Home,2,False,Website,54
C0191,Individual,1977-06-05,F,USA,Florida,Home,3,False,Agency,49
C0192,Individual,1984-04-02,F,Belgium,Brussels,Investment,2,True,Website,42
C0193,Individual,1968-09-08,F,USA,California,Investment,4,True,Website,58
C0194,Individual,1953-08-18,M,France,Ile-De-France,Home,5,True,Website,73
C0195,Individual,1947-06-19,M,USA,California,Home,2,True,Website,79
C0196,Individual,1957-04-22,M,USA,Nevada,Investment,5,False,Agency,69
C0197,Individual,1944-01-07,M,USA,Virginia,Home,4,False,Client,82
C0198,Individual,1976-01-28,F,USA,California,Home,4,False,Website,50
C0199,Individual,1958-04-13,M,USA,California,Home,3,False,Agency,68
C0200,Individual,1944-06-05,F,USA,California,Home,1,False,Agency,82
C0201,Individual,1968-02-13,F,USA,California,Home,1,False,Agency,58
C0202,Individual,1996-11-11,M,Canada,British Columbia,Home,1,False,Website,29
C0203,Individual,1956-05-18,F,USA,California,Home,4,False,Client,70
C0204,Individual,1947-10-01,F,USA,California,Home,5,False,Agency,79
C0205,Individual,1968-08-26,F,Mexico,Puebla,Home,1,True,Agency,58
C0206,Individual,1957-08-05,F,USA,California,Home,1,True,Agency,69
C0207,Individual,1944-11-19,M,USA,Virginia,Investment,4,False,Website,81
C0208,Individual,1986-03-26,M,France,Provence,Home,4,True,Agency,40
C0209,Individual,1949-08-22,M,USA,Arizona,Investment,3,False,Agency,77
C0210,Individual,1943-03-24,F,USA,Colorado,Home,2,False,Website,83
C0211,Individual,1972-02-23,F,USA,California,Home,3,False,Agency,54
C0212,Individual,1956-03-23,M,USA,California,Home,4,False,Agency,70
C0213,Individual,1976-10-23,M,USA,Florida,Investment,5,False,Agency,49
C0214,Individual,1946-07-18,F,Belgium,Brussels,Investment,5,False,Website,80
C0215,Individual,1999-11-07,F,Germany,Hamburg,Investment,4,False,Website,26
C0216,Individual,1999-07-19,M,USA,Utah,Home,1,False,Website,27
C0217,Individual,1984-11-07,F,USA,Colorado,Home,3,False,Website,41
C0218,Individual,1970-01-24,F,USA,California,Home,2,False,Website,56
C0219,Individual,1988-01-20,M,USA,California,Home,4,False,Website,38
C0220,Individual,1951-06-06,M,Canada,Ontario,Investment,1,False,Website,75
C0221,Company,1987-05-14,F,USA,California,Home,5,False,Website,39
C0222,Individual,1956-08-11,M,USA,Utah,Investment,3,False,Agency,70
C0223,Individual,1973-12-11,M,USA,Colorado,Investment,3,True,Website,52
C0224,Individual,1960-08-23,M,USA,Colorado,Home,5,False,Website,66
C0225,Individual,1948-12-19,F,USA,California,Home,1,True,Agency,77
C0226,Individual,1958-11-07,F,USA,Colorado,Home,2,False,Website,67
C0227,Individual,1944-10-23,F,USA,Arizona,Home,5,True,Website,81
C0228,Individual,1952-04-23,F,USA,Oregon,Investment,4,False,Website,74
C0229,Individual,1981-11-19,M,USA,Colorado,Investment,5,False,Website,44
C0230,Company,1977-07-22,M,USA,Nevada,Investment,4,True,Website,49
C0231,Individual,1993-12-18,M,Denmark,Central Denmark,Investment,2,True,Website,32
C0232,Individual,1962-04-05,F,USA,California,Home,3,True,Website,64
C0233,Individual,1997-10-09,M,France,Provence,Home,4,True,Website,28
C0234,Individual,1979-02-03,F,USA,New York,Home,1,True,Website,47
C0235,Individual,1949-10-10,M,USA,California,Home,5,False,Website,77
C0236,Individual,1972-10-08,M,Canada,Manitoba,Home,3,False,Agency,53
C0237,Individual,1984-03-11,M,USA,California,Home,5,True,Website,42
C0238,Individual,1982-08-01,F,USA,Virginia,Home,4,True,Agency,44
C0239,Individual,1973-02-18,F,USA,Oregon,Home,3,True,Website,53
C0240,Individual,1942-05-15,F,USA,Colorado,Investment,3,False,Website,84
C0241,Individual,1962-01-14,F,Mexico,Nuevo Leon,Home,5,True,Website,64
C0242,Individual,1998-03-16,M,USA,Utah,Home,3,True,Agency,28
C0243,Individual,1978-11-07,F,USA,Utah,Home,2,False,Website,47
C0244,Individual,1998-03-08,F,USA,California,Home,1,False,Website,28
C0245,Individual,1974-07-01,M,USA,Nevada,Investment,4,False,Agency,52
C0246,Individual,1992-05-15,M,France,Normandy,Home,1,True,Agency,34
C0247,Individual,1965-01-18,M,USA,California,Home,1,False,Website,61
C0248,Individual,1968-09-12,M,USA,Florida,Home,4,True,Agency,58
C0249,Individual,1968-05-12,F,USA,California,Investment,4,False,Agency,58
C0250,Individual,1947-10-19,M,UK,England,Home,2,False,Agency,78
C0251,Individual,1976-11-08,F,USA,Utah,Home,5,False,Website,49
C0252,Individual,1953-08-23,F,USA,Nevada,Investment,2,False,Website,73
C0253,Individual,1994-09-15,F,USA,Virginia,Home,4,False,Website,32
C0254,Individual,1956-07-21,F,USA,Florida,Home,5,False,Website,70
C0255,Individual,1961-08-02,F,UK,England,Investment,3,True,Client,65
C0256,Individual,1990-10-12,M,USA,California,Home,1,True,Website,35
C0257,Individual,1974-10-22,M,USA,California,Home,1,False,Website,51
C0258,Individual,1991-04-15,M,UK,Northern Ireland,Home,4,True,Agency,35
C0259,Individual,1990-02-15,F,USA,Oregon,Home,4,False,Website,36
C0260,Individual,1946-04-08,F,USA,Nevada,Investment,3,False,Website,80
C0261,Company,1985-05-13,F,USA,Florida,Investment,4,True,Website,41
C0262,Individual,1947-05-25,M,USA,Oregon,Home,2,False,Website,79
C0263,Individual,1981-02-08,M,USA,Nevada,Investment,2,True,Website,45
C0264,Individual,1992-12-09,F,USA,Colorado,Home,2,True,Agency,33
C0265,Company,1967-04-13,M,Belgium,Flanders,Home,1,False,Website,59
C0266,Individual,1977-02-26,M,USA,California,Home,5,True,Agency,49
C0267,Individual,1948-12-11,F,USA,Utah,Home,4,True,Agency,77
C0268,Individual,1959-02-21,F,USA,Georgia,Investment,3,False,Website,67
C0269,Individual,1969-04-02,M,USA,New York,Home,2,False,Agency,57
C0270,Individual,1944-07-21,F,USA,Florida,Home,5,False,Website,82
C0271,Individual,1972-04-28,F,USA,California,Investment,3,False,Agency,54
C0272,Individual,1993-03-08,F,UK,Scotland,Home,5,True,Website,33
C0273,Individual,1987-02-27,M,Denmark,Zealand,Investment,2,False,Website,39
C0274,Individual,1950-01-10,M,USA,Florida,Home,2,False,Website,76
C0275,Individual,2000-06-26,M,USA,Oregon,Home,1,True,Website,26
C0276,Individual,1953-02-16,F,USA,Washington,Home,5,False,Website,73
C0277,Individual,1954-11-17,M,USA,Colorado,Investment,1,True,Agency,71
C0278,Individual,1955-03-08,F,USA,California,Investment,2,True,Website,71
C0279,Individual,1967-05-15,F,USA,Oregon,Home,1,False,Website,59
C0280,Individual,1944-04-14,M,USA,Florida,Home,4,False,Client,82
C0281,Individual,1977-03-22,F,USA,California,Home,1,True,Agency,49
C0282,Individual,1997-10-18,F,USA,California,Investment,1,False,Website,28
C0283,Individual,1962-12-05,F,USA,Arizona,Home,2,True,Agency,63
C0284,Individual,1977-02-25,M,USA,Arizona,Home,4,False,Client,49
C0285,Individual,1999-09-03,M,France,Ile-De-France,Investment,3,False,Website,27
C0286,Individual,1996-03-24,M,UK,Scotland,Home,1,False,Agency,30
C0287,Individual,1990-10-06,F,Australia,New South Wales,Home,5,False,Website,35
C0288,Individual,1997-03-11,M,USA,Colorado,Investment,4,False,Agency,29
C0289,Individual,1993-06-14,F,USA,California,Investment,5,False,Agency,33
C0290,Individual,1962-01-01,M,USA,California,Home,2,False,Website,64
C0291,Individual,1953-06-07,M,USA,Nevada,Home,2,False,Agency,73
C0292,Individual,1945-02-12,F,USA,California,Home,1,False,Agency,81
C0293,Individual,1993-01-07,F,USA,California,Investment,4,False,Website,33
C0294,Individual,1963-07-17,M,USA,Nevada,Home,3,True,Website,63
C0295,Individual,1967-07-09,M,Russia,Tatarstan,Home,3,False,Agency,59
C0296,Individual,1984-06-04,M,Canada,Manitoba,Home,1,True,Client,42
C0297,Individual,1972-11-19,F,UK,Wales,Investment,5,False,Agency,53
C0298,Individual,1972-10-11,F,USA,Oregon,Home,3,False,Website,53
C0299,Individual,1977-03-05,F,UK,Wales,Home,5,False,Agency,49
C0300,Individual,1959-11-04,M,Canada,Alberta,Home,5,True,Website,66
C0301,Individual,1959-02-03,F,USA,Virginia,Home,4,False,Agency,67
C0302,Individual,1976-07-25,F,USA,Utah,Investment,1,False,Agency,50
C0303,Individual,1957-10-07,F,USA,Virginia,Investment,5,True,Website,69
C0304,Individual,1959-12-22,M,USA,California,Investment,1,False,Agency,66
C0305,Individual,1995-11-22,F,USA,Arizona,Home,1,False,Website,30
C0306,Individual,1988-05-04,M,USA,California,Home,1,False,Client,38
C0307,Individual,1992-10-13,M,USA,California,Home,5,True,Client,33
C0308,Individual,1972-10-10,F,Belgium,Flanders,Investment,4,True,Agency,53
C0309,Individual,1957-10-15,F,USA,Washington,Home,4,False,Agency,68
C0310,Individual,1992-02-05,M,UK,Northern Ireland,Home,3,False,Website,34
C0311,Individual,1952-09-03,M,USA,Georgia,Home,2,False,Website,74
C0312,Individual,1941-01-14,M,USA,Nevada,Home,3,True,Website,85
C0313,Company,1974-12-04,M,USA,California,Home,1,False,Agency,51
C0314,Individual,1982-08-23,M,USA,Washington,Investment,4,False,Agency,44
C0315,Individual,1987-03-18,M,Mexico,Baja California,Investment,5,False,Website,39
C0316,Individual,1997-04-14,M,UK,Scotland,Investment,4,True,Website,29
C0317,Individual,1999-11-17,F,USA,California,Investment,2,True,Website,26
C0318,Individual,1974-03-22,F,Germany,Berlin,Home,5,False,Website,52
C0319,Company,1995-12-11,F,USA,Texas,Home,5,True,Website,30
C0320,Individual,1984-01-12,M,USA,Texas,Home,3,True,Client,42
C0321,Individual,1992-12-01,M,USA,California,Investment,2,False,Agency,33
C0322,Individual,1996-12-25,F,USA,California,Home,2,True,Website,29
C0323,Individual,1975-09-16,F,USA,California,Investment,2,True,Website,51
C0324,Individual,1993-06-14,M,USA,Washington,Home,4,False,Website,33
C0325,Individual,1983-02-24,F,USA,California,Home,5,True,Agency,43
C0326,Individual,1958-10-05,M,USA,Oregon,Investment,4,True,Agency,68
C0327,Individual,1961-09-07,F,UK,Scotland,Home,1,False,Agency,65
C0328,Individual,1946-10-22,M,USA,California,Home,1,True,Client,79
C0329,Individual,1998-05-10,F,Germany,Hesse,Home,3,False,Agency,28
C0330,Individual,1975-06-21,M,USA,California,Home,1,False,Website,51
C0331,Individual,1984-05-23,F,USA,California,Investment,3,False,Agency,42
C0332,Individual,1989-12-15,M,USA,Texas,Investment,3,False,Website,36
C0333,Individual,1955-12-23,F,UK,Wales,Home,3,False,Website,70
C0334,Individual,1950-01-08,M,USA,Arizona,Investment,3,False,Agency,76
C0335,Individual,1975-12-24,M,USA,Arizona,Home,4,False,Website,50
C0336,Individual,1971-11-17,F,USA,California,Investment,5,False,Agency,54
C0337,Individual,1942-01-27,M,USA,Arizona,Home,3,True,Website,84
C0338,Individual,1943-05-28,M,USA,California,Home,5,True,Website,83
C0339,Individual,1963-05-10,M,USA,Utah,Investment,5,False,Agency,63
C0340,Individual,1940-11-25,M,USA,California,Investment,2,False,Agency,85
C0341,Individual,1982-10-11,M,USA,California,Investment,4,False,Agency,43
C0342,Individual,1974-08-15,M,USA,California,Investment,2,False,Client,52
C0343,Individual,1952-06-17,F,USA,California,Home,2,False,Website,74
C0344,Individual,1997-05-13,M,Canada,British Columbia,Home,2,True,Website,29
C0345,Individual,1969-09-15,F,USA,New York,Home,4,True,Website,57
C0346,Individual,1963-02-06,F,USA,California,Home,5,False,Agency,63
C0347,Individual,1992-05-24,M,USA,Washington,Home,3,True,Website,34
C0348,Individual,1982-02-13,M,USA,Colorado,Investment,5,True,Agency,44
C0349,Individual,1975-06-26,M,USA,Arizona,Home,2,True,Agency,51
C0350,Individual,1992-11-12,M,USA,Arizona,Home,2,False,Agency,33
C0351,Individual,1961-12-27,F,USA,Oregon,Home,5,False,Agency,64
C0352,Individual,1977-06-22,F,USA,Nevada,Investment,3,False,Agency,49
C0353,Individual,1964-04-24,F,USA,Arizona,Home,2,False,Agency,62
C0354,Individual,1998-10-23,F,USA,California,Home,4,False,Website,27
C0355,Individual,1951-10-16,M,Mexico,Baja California,Investment,1,False,Website,74
C0356,Individual,1976-06-06,F,USA,Georgia,Home,3,False,Website,50
C0357,Individual,1988-09-04,F,USA,California,Home,3,False,Website,38
C0358,Individual,1978-09-26,F,Australia,New South Wales,Home,3,True,Agency,48
C0359,Individual,1951-10-03,F,USA,California,Investment,1,False,Agency,75
C0360,Individual,1948-09-09,F,USA,Utah,Home,2,True,Agency,78
C0361,Individual,1958-08-09,M,UK,England,Home,1,True,Website,68
C0362,Individual,2000-06-09,F,USA,Utah,Home,4,False,Website,26
C0363,Individual,1959-01-25,F,USA,Utah,Investment,2,False,Client,67
C0364,Individual,1944-02-03,M,USA,Texas,Home,2,False,Website,82
C0365,Individual,1962-11-02,M,USA,Colorado,Investment,5,False,Agency,63
C0366,Individual,1983-04-26,M,USA,California,Home,4,False,Website,43
C0367,Individual,1964-11-25,M,USA,California,Investment,4,False,Agency,61
C0368,Individual,1992-11-08,F,USA,California,Home,4,True,Agency,33
C0369,Individual,1954-01-10,F,USA,Utah,Home,2,True,Agency,72
C0370,Individual,1957-09-23,F,Russia,Krasnodar Krai,Home,1,False,Website,69
C0371,Individual,1970-03-15,M,Belgium,Wallonia,Investment,3,False,Agency,56
C0372,Individual,1952-04-22,F,Belgium,Flanders,Investment,1,False,Agency,74
C0373,Individual,1993-01-27,F,USA,Georgia,Home,2,False,Agency,33
C0374,Individual,1993-07-11,F,Australia,New South Wales,Investment,4,True,Agency,33
C0375,Individual,1968-07-15,M,USA,California,Investment,4,False,Website,58
C0376,Individual,1953-04-19,F,USA,California,Home,3,False,Website,73
C0377,Individual,1998-05-14,M,USA,Washington,Home,4,False,Website,28
C0378,Individual,1957-11-28,F,USA,California,Investment,3,True,Website,68
C0379,Company,1977-04-22,M,USA,California,Investment,2,True,Client,49
C0380,Individual,1973-09-13,F,USA,California,Home,3,True,Website,53
C0381,Individual,1961-08-01,M,USA,California,Home,5,True,Agency,65
